id,movimiento_id,action,changed_by,changed_at,old_data,new_data,reason
27e87144-cdda-4cad-9548-6a3153e737e6,fd471708-ff1d-4911-97d9-5bc6304a44c3,deleted,fc5c6a1e-f1e2-468a-95fe-3283a39b7334,2026-01-14 19:31:01.083129+00,"{""id"":""fd471708-ff1d-4911-97d9-5bc6304a44c3"",""tipo"":""outgoing"",""fecha"":""2026-01-14"",""origen"":null,""destino"":""Burdiles"",""obra_id"":""c4af1af6-d35d-4e70-96a3-0d6172dbf701"",""material"":""Basura"",""camion_id"":""4632b886-8ee7-407b-a5a7-c6e8811f186b"",""capacidad"":20,""timestamp"":""2026-01-14T14:51:05.674+00:00"",""ubicacion"":""null"",""deleted_at"":null,""deleted_by"":null,""usuario_id"":""fc5c6a1e-f1e2-468a-95fe-3283a39b7334"",""distancia_km"":null,""camion_nombre"":null,""camion_patente"":null,""tiempo_estimado_minutos"":null,""combustible_estimado_litros"":null}","{""id"":""fd471708-ff1d-4911-97d9-5bc6304a44c3"",""tipo"":""outgoing"",""fecha"":""2026-01-14"",""origen"":null,""destino"":""Burdiles"",""obra_id"":""c4af1af6-d35d-4e70-96a3-0d6172dbf701"",""material"":""Basura"",""camion_id"":""4632b886-8ee7-407b-a5a7-c6e8811f186b"",""capacidad"":20,""timestamp"":""2026-01-14T14:51:05.674+00:00"",""ubicacion"":""null"",""deleted_at"":""2026-01-14T19:31:00.588+00:00"",""deleted_by"":""fc5c6a1e-f1e2-468a-95fe-3283a39b7334"",""usuario_id"":""fc5c6a1e-f1e2-468a-95fe-3283a39b7334"",""distancia_km"":null,""camion_nombre"":null,""camion_patente"":null,""tiempo_estimado_minutos"":null,""combustible_estimado_litros"":null}",Movement soft deleted
73c3e963-26e2-43cb-92ee-dc08e4721428,eeb674ec-18b9-4859-aeee-73acd7997eee,deleted,938f41d9-3365-4543-afd3-616332d4ed5e,2026-01-12 12:14:36.96646+00,"{""id"":""eeb674ec-18b9-4859-aeee-73acd7997eee"",""tipo"":""incoming"",""fecha"":""2026-01-12"",""origen"":""Camilo H"",""destino"":null,""obra_id"":""c4af1af6-d35d-4e70-96a3-0d6172dbf701"",""material"":""Trumao (Arena)"",""camion_id"":""b6342b66-12c3-4a3c-b2a1-e408fc700348"",""capacidad"":17.5,""timestamp"":""2026-01-12T12:12:29.306+00:00"",""ubicacion"":""null"",""deleted_at"":null,""deleted_by"":null,""usuario_id"":""fc5c6a1e-f1e2-468a-95fe-3283a39b7334"",""distancia_km"":null,""camion_nombre"":null,""camion_patente"":null,""tiempo_estimado_minutos"":null,""combustible_estimado_litros"":null}","{""id"":""eeb674ec-18b9-4859-aeee-73acd7997eee"",""tipo"":""incoming"",""fecha"":""2026-01-12"",""origen"":""Camilo H"",""destino"":null,""obra_id"":""c4af1af6-d35d-4e70-96a3-0d6172dbf701"",""material"":""Trumao (Arena)"",""camion_id"":""b6342b66-12c3-4a3c-b2a1-e408fc700348"",""capacidad"":17.5,""timestamp"":""2026-01-12T12:12:29.306+00:00"",""ubicacion"":""null"",""deleted_at"":""2026-01-12T12:14:37.02+00:00"",""deleted_by"":""938f41d9-3365-4543-afd3-616332d4ed5e"",""usuario_id"":""fc5c6a1e-f1e2-468a-95fe-3283a39b7334"",""distancia_km"":null,""camion_nombre"":null,""camion_patente"":null,""tiempo_estimado_minutos"":null,""combustible_estimado_litros"":null}",Movement soft deleted
753bbf0b-0172-42bb-8025-211fc70aba19,31908abe-0613-4073-9983-619bfa6fbbad,deleted,1c9ddce0-9633-4530-b00c-914d3cf3d9a7,2026-01-14 14:46:48.009967+00,"{""id"":""31908abe-0613-4073-9983-619bfa6fbbad"",""tipo"":""incoming"",""fecha"":""2026-01-14"",""origen"":""Camilo H"",""destino"":null,""obra_id"":""c4af1af6-d35d-4e70-96a3-0d6172dbf701"",""material"":""Trumao (Arena)"",""camion_id"":""43b2b73b-cdaa-4e90-abee-f488a49b6f85"",""capacidad"":17.5,""timestamp"":""2026-01-14T14:44:13.015+00:00"",""ubicacion"":""null"",""deleted_at"":null,""deleted_by"":null,""usuario_id"":""fc5c6a1e-f1e2-468a-95fe-3283a39b7334"",""distancia_km"":null,""camion_nombre"":null,""camion_patente"":null,""tiempo_estimado_minutos"":null,""combustible_estimado_litros"":null}","{""id"":""31908abe-0613-4073-9983-619bfa6fbbad"",""tipo"":""incoming"",""fecha"":""2026-01-14"",""origen"":""Camilo H"",""destino"":null,""obra_id"":""c4af1af6-d35d-4e70-96a3-0d6172dbf701"",""material"":""Trumao (Arena)"",""camion_id"":""43b2b73b-cdaa-4e90-abee-f488a49b6f85"",""capacidad"":17.5,""timestamp"":""2026-01-14T14:44:13.015+00:00"",""ubicacion"":""null"",""deleted_at"":""2026-01-14T14:46:46.276+00:00"",""deleted_by"":""1c9ddce0-9633-4530-b00c-914d3cf3d9a7"",""usuario_id"":""fc5c6a1e-f1e2-468a-95fe-3283a39b7334"",""distancia_km"":null,""camion_nombre"":null,""camion_patente"":null,""tiempo_estimado_minutos"":null,""combustible_estimado_litros"":null}",Movement soft deleted
